task,model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,macro_f1,macro_precision,macro_recall,mae,rmse,r2
obesity_risk,Random Forest,0.8756,0.017,0.895,0.8727,0.9289,0.8396,,,
obesity_risk,Gradient Boosting,0.9388,0.0094,0.9275,0.9195,0.9417,0.9019,,,
obesity_risk,Logistic Regression,0.7756,0.0118,0.7725,0.7231,0.7669,0.6986,,,
obesity_risk,Decision Tree,0.8544,0.0094,0.88,0.8703,0.8826,0.8598,,,
obesity_risk,K-Nearest Neighbors,0.6406,0.0324,0.635,0.5725,0.6237,0.5515,,,
obesity_risk,SVM,0.7531,0.0119,0.77,0.694,0.8019,0.6605,,,
diabetes_risk,Random Forest,0.9081,0.0058,0.9125,0.8662,0.9351,0.8465,,,
diabetes_risk,Gradient Boosting,0.9988,0.0015,1.0,1.0,1.0,1.0,,,
diabetes_risk,Logistic Regression,0.8038,0.0163,0.8125,0.7413,0.7664,0.7365,,,
diabetes_risk,Decision Tree,0.9956,0.0061,1.0,1.0,1.0,1.0,,,
diabetes_risk,K-Nearest Neighbors,0.7113,0.0192,0.7,0.6314,0.6444,0.6308,,,
diabetes_risk,SVM,0.8456,0.0102,0.8375,0.7749,0.8356,0.7622,,,
hypertension_risk,Random Forest,0.9194,0.0137,0.9325,0.8889,0.9441,0.8651,,,
hypertension_risk,Gradient Boosting,1.0,0.0,1.0,1.0,1.0,1.0,,,
hypertension_risk,Logistic Regression,0.8412,0.0091,0.815,0.6646,0.6812,0.6808,,,
hypertension_risk,Decision Tree,0.9938,0.0097,1.0,1.0,1.0,1.0,,,
hypertension_risk,K-Nearest Neighbors,0.6556,0.0133,0.6475,0.5382,0.5953,0.5262,,,
hypertension_risk,SVM,0.8556,0.0102,0.8525,0.7017,0.818,0.7116,,,
bmi_category,Random Forest,0.9981,0.0015,1.0,1.0,1.0,1.0,,,
bmi_category,Gradient Boosting,1.0,0.0,1.0,1.0,1.0,1.0,,,
bmi_category,Logistic Regression,0.9631,0.01,0.965,0.9646,0.9666,0.9627,,,
bmi_category,Decision Tree,1.0,0.0,1.0,1.0,1.0,1.0,,,
bmi_category,K-Nearest Neighbors,0.6869,0.0111,0.6875,0.6555,0.7258,0.6413,,,
bmi_category,SVM,0.8944,0.0135,0.8825,0.8804,0.8978,0.8703,,,
badge_status,Random Forest,0.95,0.0044,0.945,0.7917,0.9556,0.8087,,,
badge_status,Gradient Boosting,1.0,0.0,1.0,1.0,1.0,1.0,,,
badge_status,Logistic Regression,0.9144,0.0111,0.9375,0.9141,0.9485,0.8964,,,
badge_status,Decision Tree,1.0,0.0,1.0,1.0,1.0,1.0,,,
badge_status,K-Nearest Neighbors,0.3969,0.0163,0.3925,0.38,0.4176,0.3682,,,
badge_status,SVM,0.7988,0.0179,0.8025,0.6617,0.6442,0.6857,,,
calorie_target,Random Forest Regressor,,,,,,,100.79,118.47,0.9572
calorie_target,Gradient Boosting,,,,,,,102.53,120.75,0.9555
calorie_target,Ridge Regression,,,,,,,96.54,111.16,0.9623
